Run ID,1625839163
Run Date/Time,2021-07-09 10:15:09
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.5
Protocol Name,210709_Spot_HuDNA_Damage_siRNA_library.epr
User Name,NCI-LRBGE_HCS

[EXCEPTIONS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[2],HT000904,384LDV_Plus_AQ_GP,A20,2.34,11.931,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A21,2.344,11.951,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,A22,2.338,11.925,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B1,2.334,11.904,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B2,2.32,11.844,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B3,2.338,11.925,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B4,2.332,11.898,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B5,2.328,11.878,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B6,2.335,11.911,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B7,2.328,11.878,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B8,2.343,11.945,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B9,2.323,11.858,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B10,2.298,11.744,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B11,2.31,11.797,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B12,2.306,11.777,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B13,2.31,11.797,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B14,2.291,11.711,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B15,2.307,11.784,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B16,2.32,11.844,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B17,2.32,11.844,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B18,2.319,11.838,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B19,2.304,11.771,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B20,2.291,11.711,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B21,2.301,11.757,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,B22,2.325,11.864,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C1,2.343,11.945,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C2,2.335,11.911,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C3,2.307,11.784,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C4,2.288,11.697,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C5,2.34,11.931,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C6,2.329,11.884,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C7,2.329,11.884,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C8,2.334,11.904,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C9,2.344,11.951,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C10,2.322,11.851,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C11,2.277,11.65,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C12,2.3,11.751,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C13,2.304,11.771,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C14,2.328,11.878,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C15,2.328,11.878,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C16,2.338,11.925,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C17,2.316,11.824,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C18,2.306,11.777,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C19,2.3,11.751,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C20,2.295,11.731,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C21,2.309,11.791,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,C22,2.307,11.784,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D1,2.34,11.931,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D2,2.313,11.811,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D3,2.325,11.864,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D4,2.334,11.904,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D5,2.35,11.978,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D6,2.346,11.958,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D7,2.366,12.052,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D8,2.337,11.918,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D9,2.292,11.717,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D10,2.346,11.958,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D11,2.313,11.811,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D12,2.338,11.925,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D13,2.331,11.891,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D14,2.337,11.918,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D15,2.356,12.005,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D16,2.347,11.965,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D17,2.349,11.971,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D18,2.313,11.811,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D19,2.294,11.724,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D20,2.301,11.757,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D21,2.301,11.757,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,D22,2.317,11.831,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E1,2.335,11.911,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E2,2.331,11.891,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E3,2.323,11.858,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E4,2.358,12.012,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E5,2.35,11.978,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E6,2.335,11.911,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E7,2.338,11.925,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E8,2.375,12.092,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E9,2.372,12.078,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E10,2.372,12.078,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E11,2.326,11.871,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E12,2.343,11.945,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E13,2.329,11.884,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E14,2.364,12.038,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E15,2.366,12.052,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E16,2.349,11.971,0.409,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E17,2.371,12.072,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E18,2.346,11.958,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E19,2.306,11.777,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E20,2.329,11.884,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E21,2.311,11.804,1.026,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,E22,2.295,11.731,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F1,2.362,12.032,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F2,2.359,12.018,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F3,2.362,12.032,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F4,2.323,11.858,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F5,2.38,12.117,0.65,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F6,2.298,11.744,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F7,2.32,11.844,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F8,2.399,12.199,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F9,2.395,12.179,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F10,2.383,12.125,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F11,2.325,11.864,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F12,2.364,12.038,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F13,2.338,11.925,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F14,2.355,11.998,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F15,2.366,12.052,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F16,2.355,11.998,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F17,2.358,12.012,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F18,2.356,12.005,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F19,2.303,11.768,1.145,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F20,2.323,11.858,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F21,2.325,11.864,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,F22,2.313,11.811,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G1,2.352,11.985,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G2,2.335,11.911,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G3,2.312,11.804,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G4,2.332,11.898,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G5,2.364,12.038,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G6,2.332,11.898,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G7,2.384,12.132,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G8,2.362,12.032,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G9,2.334,11.904,0.408,Percent,Glycerol,
Source[2],HT000904,384LDV_Plus_AQ_GP,G10,2.387,12.145,0.408,Percent,Glycerol,
